epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2272,3.07404,5.94216,2.23979,0.20472,0.05562,0.01006,0.00197,2.84808,3.92617,2.06772,0.000331797,0.000331797,0.000331797
2,119.947,2.83835,4.85262,1.92711,0.85043,0.02778,0.02556,0.01092,2.66708,4.83321,1.94267,0.000632207,0.000632207,0.000632207
3,176.949,2.73302,4.25614,1.88535,0.47011,0.07132,0.03876,0.01103,2.64898,3.60648,1.89288,0.000899616,0.000899616,0.000899616
4,233.492,2.69839,3.94207,1.8767,0.06739,0.07352,0.06438,0.0161,2.61122,3.44648,1.96484,0.0008515,0.0008515,0.0008515
5,289.703,2.60877,3.627,1.8906,0.38287,0.12846,0.08164,0.0236,2.5185,3.15464,1.95893,0.000802,0.000802,0.000802
6,346.409,2.58032,3.59571,1.83717,0.17649,0.10711,0.10747,0.03808,2.40544,3.04484,1.91758,0.0007525,0.0007525,0.0007525
7,402.947,2.47057,3.35946,1.79448,0.38525,0.14824,0.12375,0.04549,2.49361,3.00187,1.84723,0.000703,0.000703,0.000703
8,459.074,2.43291,3.21583,1.76623,0.21172,0.15212,0.12762,0.0468,2.40636,2.99631,1.85915,0.0006535,0.0006535,0.0006535
9,515.505,2.4278,3.10617,1.75155,0.26206,0.12369,0.145,0.04866,2.45325,3.01559,1.84446,0.000604,0.000604,0.000604
10,571.905,2.42339,3.04105,1.73904,0.43175,0.13269,0.15289,0.05884,2.42715,2.88534,1.7915,0.0005545,0.0005545,0.0005545
11,626.748,2.32806,2.94529,1.81361,0.1824,0.22576,0.18467,0.06829,2.36526,2.67434,1.82484,0.000505,0.000505,0.000505
12,680.555,2.32887,2.82787,1.84876,0.26324,0.21077,0.18965,0.07507,2.3909,2.64047,1.89676,0.0004555,0.0004555,0.0004555
13,733.476,2.26542,2.73843,1.79064,0.5111,0.19521,0.21197,0.08127,2.36125,2.60766,1.82998,0.000406,0.000406,0.000406
14,785.59,2.24586,2.6091,1.78945,0.24588,0.28457,0.19014,0.07343,2.34469,2.62171,1.86559,0.0003565,0.0003565,0.0003565
15,838.259,2.17053,2.49475,1.72273,0.30078,0.25116,0.21802,0.08209,2.38917,2.64743,1.83415,0.000307,0.000307,0.000307
16,891.661,2.14601,2.37594,1.71305,0.31019,0.27967,0.23577,0.09005,2.33741,2.57935,1.8218,0.0002575,0.0002575,0.0002575
17,944.922,2.09913,2.34595,1.69166,0.30656,0.26847,0.23873,0.09751,2.34366,2.53852,1.82556,0.000208,0.000208,0.000208
18,998.189,2.07094,2.2258,1.66103,0.2711,0.29224,0.25145,0.09865,2.26209,2.55036,1.77445,0.0001585,0.0001585,0.0001585
19,1050.5,2.0248,2.15349,1.64523,0.28115,0.28246,0.23139,0.09546,2.28181,2.54254,1.7788,0.000109,0.000109,0.000109
20,1102.78,2.00465,2.13162,1.6246,0.28953,0.25731,0.24477,0.09296,2.30299,2.50311,1.78863,5.95e-05,5.95e-05,5.95e-05
